data,price,ClusterLabels,year,month,plotDate
2022-02-15,13900,0,2022,2,2
2022-02-15,8000,1,2022,2,2
2022-02-15,12500,0,2022,2,2
2022-02-15,10950,1,2022,2,2
2022-02-15,8100,1,2022,2,2
2022-02-15,8500,1,2022,2,2
2022-02-15,10000,1,2022,2,2
2022-02-15,11000,0,2022,2,2
2022-02-15,12500,0,2022,2,2
2022-02-15,14000,1,2022,2,2
2022-02-15,13500,0,2022,2,2
2022-02-15,7500,1,2022,2,2
2022-02-15,15600,0,2022,2,2
2022-02-15,11000,0,2022,2,2
2022-02-15,5000,1,2022,2,2
2022-02-15,12000,1,2022,2,2
2022-02-15,7000,1,2022,2,2
2022-02-15,8400,1,2022,2,2
2022-02-15,14500,0,2022,2,2
2022-02-15,10000,0,2022,2,2
2022-02-15,9000,1,2022,2,2
2022-02-15,8000,1,2022,2,2
2022-02-15,13500,0,2022,2,2
2022-02-15,9800,1,2022,2,2
2022-02-15,14850,0,2022,2,2
2022-02-15,12500,0,2022,2,2
2022-02-15,9000,1,2022,2,2
2022-02-15,7900,1,2022,2,2
2022-02-15,9500,1,2022,2,2
2022-02-15,13000,1,2022,2,2
2022-02-15,15499,0,2022,2,2
2022-02-15,9900,1,2022,2,2
2022-02-15,12300,1,2022,2,2
2022-02-15,9490,0,2022,2,2
2022-02-15,13850,0,2022,2,2
2022-02-15,7000,1,2022,2,2
2022-02-15,14400,1,2022,2,2
2022-02-15,12800,0,2022,2,2
2022-02-15,7950,1,2022,2,2
2022-02-15,18500,0,2022,2,2
2022-02-15,9500,0,2022,2,2
2022-02-15,10000,0,2022,2,2
2022-02-15,8500,0,2022,2,2
2022-02-15,7500,1,2022,2,2
2022-02-15,8500,1,2022,2,2
2022-02-15,19400,0,2022,2,2
2022-02-15,2600,1,2022,2,2
2022-02-15,11000,0,2022,2,2
2022-02-15,11350,0,2022,2,2
2022-02-15,9000,1,2022,2,2
2022-02-15,18000,0,2022,2,2
2022-02-15,4200,1,2022,2,2
2022-02-15,6000,1,2022,2,2
2022-02-15,7000,1,2022,2,2
2022-02-15,11900,1,2022,2,2
2022-02-15,8700,1,2022,2,2
2022-02-15,7000,1,2022,2,2
2022-02-15,6000,1,2022,2,2
2022-02-15,15000,0,2022,2,2
2022-02-15,12300,0,2022,2,2
2022-02-15,8800,1,2022,2,2
2022-02-15,15900,0,2022,2,2
2022-02-15,23999,0,2022,2,2
2022-02-15,21000,0,2022,2,2
2022-02-15,11200,0,2022,2,2
2022-02-15,28790,0,2022,2,2
2022-02-15,7900,1,2022,2,2
2022-02-15,18000,0,2022,2,2
2022-02-15,8500,1,2022,2,2
2022-02-15,15500,0,2022,2,2
2022-02-15,12900,0,2022,2,2
2022-02-15,7000,1,2022,2,2
2022-02-15,17400,0,2022,2,2
2022-02-15,7000,1,2022,2,2
2022-02-15,9500,1,2022,2,2
2022-02-15,9000,1,2022,2,2
2022-02-15,15900,0,2022,2,2
2022-02-15,4200,1,2022,2,2
2022-02-15,9990,1,2022,2,2
2022-02-15,6500,1,2022,2,2
2022-02-15,13300,0,2022,2,2
2022-02-15,7950,1,2022,2,2
2022-02-15,13300,0,2022,2,2
2022-02-15,13300,0,2022,2,2
2022-02-15,11500,0,2022,2,2
2022-02-15,8900,0,2022,2,2
2022-02-15,10500,1,2022,2,2
2022-02-15,15700,0,2022,2,2
2022-02-15,5900,1,2022,2,2
2022-02-15,7800,1,2022,2,2
2022-02-15,15500,0,2022,2,2
2022-02-15,8500,0,2022,2,2
2022-02-15,28000,0,2022,2,2
2022-02-15,15500,0,2022,2,2
2022-02-15,9000,1,2022,2,2
2022-02-15,13800,0,2022,2,2
2022-02-15,7900,1,2022,2,2
2022-02-15,9300,1,2022,2,2
